code_insee,annee,naissances
01,1900,3173.0
01,1901,3584.0
01,1902,3489.0
01,1903,3541.0
01,1904,3725.0
01,1905,3703.0
01,1906,3797.0
01,1907,3658.0
01,1908,3950.0
01,1909,4011.0
01,1910,4067.0
01,1911,3866.0
01,1912,4234.0
01,1913,4244.0
01,1914,4096.0
01,1915,2357.0
01,1916,1755.0
01,1917,2036.0
01,1918,2510.0
01,1919,2704.0
01,1920,4869.0
01,1921,4738.0
01,1922,4627.0
01,1923,4475.0
01,1924,4367.0
01,1925,4425.0
01,1926,4621.0
01,1927,4393.0
01,1928,4522.0
01,1929,4331.0
01,1930,4532.0
01,1931,4339.0
01,1932,4375.0
01,1933,4120.0
01,1934,3908.0
01,1935,3815.0
01,1936,3761.0
01,1937,3601.0
01,1938,3556.0
01,1939,3666.0
01,1940,3506.0
01,1941,3820.0
01,1942,4138.0
01,1943,4464.0
01,1944,4542.0
01,1945,4194.0
01,1946,5392.0
01,1947,5558.0
01,1948,5648.0
01,1949,5460.0
01,1950,5214.0
01,1951,4894.0
01,1952,4796.0
01,1953,4783.0
01,1954,4542.0
01,1955,4376.0
01,1956,4509.0
01,1957,4551.0
01,1958,4352.0
01,1959,4402.0
01,1960,4429.0
01,1961,4447.0
01,1962,4263.0
01,1963,4394.0
01,1964,4528.0
01,1965,4251.0
01,1966,4290.0
01,1967,4201.0
01,1968,4124.0
01,1969,4243.0
01,1970,4093.0
01,1971,4343.0
01,1972,4253.0
01,1973,3992.0
01,1974,3781.0
01,1975,3150.0
01,1976,3045.0
01,1977,3157.0
01,1978,2991.0
01,1979,3086.0
01,1980,3320.0
01,1981,3411.0
01,1982,3286.0
01,1983,3154.0
01,1984,3005.0
01,1985,3055.0
01,1986,3098.0
01,1987,3180.0
01,1988,3124.0
01,1989,3127.0
01,1990,3162.0
01,1991,3113.0
01,1992,2941.0
01,1993,2824.0
01,1994,2821.0
01,1995,2753.0
01,1996,2636.0
01,1997,2484.0
01,1998,2496.0
01,1999,2657.0
01,2000,2644.0
01,2001,2550.0
01,2002,2710.0
01,2003,2884.0
01,2004,2697.0
01,2005,2860.0
01,2006,2998.0
01,2007,2903.0
01,2008,3081.0
01,2009,2990.0
01,2010,3042.0
01,2011,2917.0
01,2012,2912.0
01,2013,2880.0
01,2014,2878.0
01,2015,2538.0
02,1900,5072.0
02,1901,5523.0
02,1902,5820.0
02,1903,5727.0
02,1904,5959.0
02,1905,5922.0
02,1906,6452.0
02,1907,6373.0
02,1908,6666.0
02,1909,6431.0
02,1910,6718.0
02,1911,6368.0
02,1912,6710.0
02,1913,6788.0
02,1914,6102.0
02,1915,3501.0
02,1916,2763.0
02,1917,2027.0
02,1918,1496.0
02,1919,2505.0
02,1920,7145.0
02,1921,7778.0
02,1922,8443.0
02,1923,9149.0
02,1924,9435.0
02,1925,9301.0
02,1926,8534.0
02,1927,8274.0
02,1928,8346.0
02,1929,8202.0
02,1930,8520.0
02,1931,8549.0
02,1932,8146.0
02,1933,7608.0
02,1934,7571.0
02,1935,7255.0
02,1936,7001.0
02,1937,6989.0
02,1938,6837.0
02,1939,6640.0
02,1940,4583.0
02,1941,4235.0
02,1942,5537.0
02,1943,6250.0
02,1944,6891.0
02,1945,7125.0
02,1946,11319.0
02,1947,11431.0
02,1948,11310.0
02,1949,11705.0
02,1950,11438.0
02,1951,11038.0
02,1952,10900.0
02,1953,10500.0
02,1954,10449.0
02,1955,10537.0
02,1956,10179.0
02,1957,10222.0
02,1958,9945.0
02,1959,10083.0
02,1960,9773.0
02,1961,10146.0
02,1962,9679.0
02,1963,10029.0
02,1964,10011.0
02,1965,9932.0
02,1966,9638.0
02,1967,9071.0
02,1968,8900.0
02,1969,8930.0
02,1970,8765.0
02,1971,8880.0
02,1972,8953.0
02,1973,8571.0
02,1974,8082.0
02,1975,7473.0
02,1976,6901.0
02,1977,7199.0
02,1978,6708.0
02,1979,6887.0
02,1980,7588.0
02,1981,7552.0
02,1982,7360.0
02,1983,6844.0
02,1984,7018.0
02,1985,7083.0
02,1986,7241.0
02,1987,7039.0
02,1988,6822.0
02,1989,6628.0
02,1990,6569.0
02,1991,6441.0
02,1992,6372.0
02,1993,5852.0
02,1994,5937.0
02,1995,5900.0
02,1996,5804.0
02,1997,5726.0
02,1998,5733.0
02,1999,5862.0
02,2000,5926.0
02,2001,5551.0
02,2002,5477.0
02,2003,5237.0
02,2004,5025.0
02,2005,5063.0
02,2006,4969.0
02,2007,4611.0
02,2008,4798.0
02,2009,4589.0
02,2010,4568.0
02,2011,4432.0
02,2012,4245.0
02,2013,4180.0
02,2014,4041.0
02,2015,3978.0
03,1900,3892.0
03,1901,4133.0
03,1902,4234.0
03,1903,4140.0
03,1904,4148.0
03,1905,4191.0
03,1906,4289.0
03,1907,4111.0
03,1908,4328.0
03,1909,4356.0
03,1910,4291.0
03,1911,3862.0
03,1912,4174.0
03,1913,4088.0
03,1914,4099.0
03,1915,2607.0
03,1916,1950.0
03,1917,2110.0
03,1918,2636.0
03,1919,2508.0
03,1920,4666.0
03,1921,4889.0
03,1922,4663.0
03,1923,4447.0
03,1924,4439.0
03,1925,4511.0
03,1926,4589.0
03,1927,4447.0
03,1928,4518.0
